id_cooperado,nome,cpf_cnpj,data_adesao,situacao
1,Cooperado 1,754.214.125-45,2013-02-17,suspenso
2,Cooperado 2,132.130.195-37,2010-08-06,Suspenso
3,Cooperado 3,559.703.384-10,2013-07-31,ATIVO
4,Cooperado 4,881.444.204-21,2018-01-19,SUSPENSO
5,Cooperado 5,847.570.649-25,2018-06-28,Ativo
6,Cooperado 6,733.982.470-83,2011-07-24,Ativo
7,Cooperado 7,181.975.338-22,2020-03-03,ativo
8,Cooperado 8,314.786.373-99,2011-08-08,Ativo
9,Cooperado 9,350.267.573-58,2022-06-29,Ativo
10,Cooperado 10,894.157.334-14,2018-12-31,Ativo
11,Cooperado 11,680.997.835-50,2021-03-13,INATIVO
12,Cooperado 12,352.862.674-78,2019-08-11,Inativo
13,Cooperado 13,241.621.605-21,2012-06-17,Ativo
14,Cooperado 14,532.710.165-59,2020-07-01,Suspenso
15,Cooperado 15,111.796.838-24,2022-01-16,ativo
16,Cooperado 16,261.564.103-43,2014-01-03,Ativo
17,Cooperado 17,405.961.754-74,2013-06-06,Ativo
18,Cooperado 18,897.643.100-86,2010-06-09,Ativo
19,Cooperado 19,951.926.414-40,2022-09-22,Ativo
20,Cooperado 20,935.170.878-78,2012-11-17,Suspenso
21,Cooperado 21,993.721.533-37,2014-07-06,Inativo
22,Cooperado 22,765.482.548-76,2015-07-24,Ativo
23,Cooperado 23,335.702.325-10,2011-04-28,Ativo
24,Cooperado 24,172.626.343-45,2014-10-22,Suspenso
25,Cooperado 25,348.903.584-62,2012-03-05,Ativo
26,Cooperado 26,578.984.846-16,2012-03-17,Ativo
27,Cooperado 27,211.354.296-34,2013-02-22,Ativo
28,Cooperado 28,995.177.553-80,2022-02-15,Ativo
29,Cooperado 29,969.342.270-62,2014-10-18,ATIVO
30,Cooperado 30,499.371.902-68,2022-06-19,inativo
31,Cooperado 31,322.159.693-79,2017-01-13,Suspenso
32,Cooperado 32,973.643.261-17,2011-10-19,Ativo
33,Cooperado 33,791.982.340-61,2022-10-11,SUSPENSO
34,Cooperado 34,529.773.697-82,2015-11-07,ativo
35,Cooperado 35,234.787.760-48,18/08/2011,Suspenso
36,Cooperado 36,202.175.650-37,2012-12-21,Ativo
